"species" "island" "bill_length_mm" "bill_depth_mm" "flipper_length_mm" "body_mass_g" "sex" "year"
"1" "Adelie" "Torgersen" 39.1 18.7 181 3750 "male" 2007
"2" "Adelie" "Torgersen" 39.3 20.6 190 3650 "male" 2007
"3" "Adelie" "Torgersen" 39.2 19.6 195 4675 "male" 2007
"4" "Adelie" "Torgersen" 38.6 21.2 191 3800 "male" 2007
"5" "Adelie" "Torgersen" 34.6 21.1 198 4400 "male" 2007
"6" "Adelie" "Torgersen" 42.5 20.7 197 4500 "male" 2007
"7" "Adelie" "Torgersen" 46 21.5 194 4200 "male" 2007
"8" "Adelie" "Biscoe" 37.7 18.7 180 3600 "male" 2007
"9" "Adelie" "Biscoe" 38.2 18.1 185 3950 "male" 2007
"10" "Adelie" "Biscoe" 38.8 17.2 180 3800 "male" 2007
"11" "Adelie" "Biscoe" 40.6 18.6 183 3550 "male" 2007
"12" "Adelie" "Biscoe" 40.5 18.9 180 3950 "male" 2007
"13" "Adelie" "Dream" 37.2 18.1 178 3900 "male" 2007
"14" "Adelie" "Dream" 40.9 18.9 184 3900 "male" 2007
"15" "Adelie" "Dream" 39.2 21.1 196 4150 "male" 2007
"16" "Adelie" "Dream" 38.8 20 190 3950 "male" 2007
"17" "Adelie" "Dream" 39.8 19.1 184 4650 "male" 2007
"18" "Adelie" "Dream" 40.8 18.4 195 3900 "male" 2007
"19" "Adelie" "Dream" 44.1 19.7 196 4400 "male" 2007
"20" "Adelie" "Dream" 39.6 18.8 190 4600 "male" 2007
"21" "Adelie" "Dream" 41.1 19 182 3425 "male" 2007
"22" "Adelie" "Dream" 42.3 21.2 191 4150 "male" 2007
"23" "Adelie" "Biscoe" 40.1 18.9 188 4300 "male" 2008
"24" "Adelie" "Biscoe" 42 19.5 200 4050 "male" 2008
"25" "Adelie" "Biscoe" 41.4 18.6 191 3700 "male" 2008
"26" "Adelie" "Biscoe" 40.6 18.8 193 3800 "male" 2008
"27" "Adelie" "Biscoe" 37.6 19.1 194 3750 "male" 2008
"28" "Adelie" "Biscoe" 41.3 21.1 195 4400 "male" 2008
"29" "Adelie" "Biscoe" 41.1 18.2 192 4050 "male" 2008
"30" "Adelie" "Biscoe" 41.6 18 192 3950 "male" 2008
"31" "Adelie" "Biscoe" 41.1 19.1 188 4100 "male" 2008
"32" "Adelie" "Torgersen" 41.8 19.4 198 4450 "male" 2008
"33" "Adelie" "Torgersen" 39.7 18.4 190 3900 "male" 2008
"34" "Adelie" "Torgersen" 45.8 18.9 197 4150 "male" 2008
"35" "Adelie" "Torgersen" 42.8 18.5 195 4250 "male" 2008
"36" "Adelie" "Torgersen" 37.2 19.4 184 3900 "male" 2008
"37" "Adelie" "Torgersen" 42.1 19.1 195 4000 "male" 2008
"38" "Adelie" "Torgersen" 42.9 17.6 196 4700 "male" 2008
"39" "Adelie" "Torgersen" 35.1 19.4 193 4200 "male" 2008
"40" "Adelie" "Dream" 41.3 20.3 194 3550 "male" 2008
"41" "Adelie" "Dream" 36.3 19.5 190 3800 "male" 2008
"42" "Adelie" "Dream" 38.3 19.2 189 3950 "male" 2008
"43" "Adelie" "Dream" 41.1 18.1 205 4300 "male" 2008
"44" "Adelie" "Dream" 39.6 18.1 186 4450 "male" 2008
"45" "Adelie" "Dream" 40.8 18.9 208 4300 "male" 2008
"46" "Adelie" "Dream" 40.3 18.5 196 4350 "male" 2008
"47" "Adelie" "Dream" 43.2 18.5 192 4100 "male" 2008
"48" "Adelie" "Biscoe" 41 20 203 4725 "male" 2009
"49" "Adelie" "Biscoe" 37.8 20 190 4250 "male" 2009
"50" "Adelie" "Biscoe" 39.7 18.9 184 3550 "male" 2009
"51" "Adelie" "Biscoe" 38.2 20 190 3900 "male" 2009
"52" "Adelie" "Biscoe" 43.2 19 197 4775 "male" 2009
"53" "Adelie" "Biscoe" 45.6 20.3 191 4600 "male" 2009
"54" "Adelie" "Biscoe" 42.2 19.5 197 4275 "male" 2009
"55" "Adelie" "Biscoe" 42.7 18.3 196 4075 "male" 2009
"56" "Adelie" "Torgersen" 37.3 20.5 199 3775 "male" 2009
"57" "Adelie" "Torgersen" 41.1 18.6 189 3325 "male" 2009
"58" "Adelie" "Torgersen" 37.7 19.8 198 3500 "male" 2009
"59" "Adelie" "Torgersen" 41.4 18.5 202 3875 "male" 2009
"60" "Adelie" "Torgersen" 40.6 19 199 4000 "male" 2009
"61" "Adelie" "Torgersen" 41.5 18.3 195 4300 "male" 2009
"62" "Adelie" "Torgersen" 44.1 18 210 4000 "male" 2009
"63" "Adelie" "Torgersen" 43.1 19.2 197 3500 "male" 2009
"64" "Adelie" "Dream" 37.5 18.5 199 4475 "male" 2009
"65" "Adelie" "Dream" 41.1 17.5 190 3900 "male" 2009
"66" "Adelie" "Dream" 40.2 20.1 200 3975 "male" 2009
"67" "Adelie" "Dream" 39.7 17.9 193 4250 "male" 2009
"68" "Adelie" "Dream" 40.6 17.2 187 3475 "male" 2009
"69" "Adelie" "Dream" 40.7 17 190 3725 "male" 2009
"70" "Adelie" "Dream" 39 18.7 185 3650 "male" 2009
"71" "Adelie" "Dream" 39.2 18.6 190 4250 "male" 2009
"72" "Adelie" "Dream" 37.8 18.1 193 3750 "male" 2009
"73" "Adelie" "Dream" 41.5 18.5 201 4000 "male" 2009
"74" "Gentoo" "Biscoe" 50 16.3 230 5700 "male" 2007
"75" "Gentoo" "Biscoe" 50 15.2 218 5700 "male" 2007
"76" "Gentoo" "Biscoe" 47.6 14.5 215 5400 "male" 2007
"77" "Gentoo" "Biscoe" 46.7 15.3 219 5200 "male" 2007
"78" "Gentoo" "Biscoe" 46.8 15.4 215 5150 "male" 2007
"79" "Gentoo" "Biscoe" 49 16.1 216 5550 "male" 2007
"80" "Gentoo" "Biscoe" 48.4 14.6 213 5850 "male" 2007
"81" "Gentoo" "Biscoe" 49.3 15.7 217 5850 "male" 2007
"82" "Gentoo" "Biscoe" 49.2 15.2 221 6300 "male" 2007
"83" "Gentoo" "Biscoe" 48.7 15.1 222 5350 "male" 2007
"84" "Gentoo" "Biscoe" 50.2 14.3 218 5700 "male" 2007
"85" "Gentoo" "Biscoe" 46.3 15.8 215 5050 "male" 2007
"86" "Gentoo" "Biscoe" 46.1 15.1 215 5100 "male" 2007
"87" "Gentoo" "Biscoe" 47.8 15 215 5650 "male" 2007
"88" "Gentoo" "Biscoe" 50 15.3 220 5550 "male" 2007
"89" "Gentoo" "Biscoe" 47.3 15.3 222 5250 "male" 2007
"90" "Gentoo" "Biscoe" 59.6 17 230 6050 "male" 2007
"91" "Gentoo" "Biscoe" 48.4 16.3 220 5400 "male" 2008
"92" "Gentoo" "Biscoe" 44.4 17.3 219 5250 "male" 2008
"93" "Gentoo" "Biscoe" 48.7 15.7 208 5350 "male" 2008
"94" "Gentoo" "Biscoe" 49.6 16 225 5700 "male" 2008
"95" "Gentoo" "Biscoe" 49.6 15 216 4750 "male" 2008
"96" "Gentoo" "Biscoe" 50.5 15.9 222 5550 "male" 2008
"97" "Gentoo" "Biscoe" 50.5 15.9 225 5400 "male" 2008
"98" "Gentoo" "Biscoe" 45.2 15.8 215 5300 "male" 2008
"99" "Gentoo" "Biscoe" 48.5 14.1 220 5300 "male" 2008
"100" "Gentoo" "Biscoe" 50.1 15 225 5000 "male" 2008
"101" "Gentoo" "Biscoe" 45 15.4 220 5050 "male" 2008
"102" "Gentoo" "Biscoe" 45.5 15 220 5000 "male" 2008
"103" "Gentoo" "Biscoe" 50.4 15.3 224 5550 "male" 2008
"104" "Gentoo" "Biscoe" 46.2 14.9 221 5300 "male" 2008
"105" "Gentoo" "Biscoe" 54.3 15.7 231 5650 "male" 2008
"106" "Gentoo" "Biscoe" 49.8 16.8 230 5700 "male" 2008
"107" "Gentoo" "Biscoe" 49.5 16.2 229 5800 "male" 2008
"108" "Gentoo" "Biscoe" 50.7 15 223 5550 "male" 2008
"109" "Gentoo" "Biscoe" 46.4 15.6 221 5000 "male" 2008
"110" "Gentoo" "Biscoe" 48.2 15.6 221 5100 "male" 2008
"111" "Gentoo" "Biscoe" 48.6 16 230 5800 "male" 2008
"112" "Gentoo" "Biscoe" 51.1 16.3 220 6000 "male" 2008
"113" "Gentoo" "Biscoe" 45.2 16.4 223 5950 "male" 2008
"114" "Gentoo" "Biscoe" 52.5 15.6 221 5450 "male" 2009
"115" "Gentoo" "Biscoe" 50 15.9 224 5350 "male" 2009
"116" "Gentoo" "Biscoe" 50.8 17.3 228 5600 "male" 2009
"117" "Gentoo" "Biscoe" 51.3 14.2 218 5300 "male" 2009
"118" "Gentoo" "Biscoe" 52.1 17 230 5550 "male" 2009
"119" "Gentoo" "Biscoe" 52.2 17.1 228 5400 "male" 2009
"120" "Gentoo" "Biscoe" 49.5 16.1 224 5650 "male" 2009
"121" "Gentoo" "Biscoe" 50.8 15.7 226 5200 "male" 2009
"122" "Gentoo" "Biscoe" 49.4 15.8 216 4925 "male" 2009
"123" "Gentoo" "Biscoe" 51.1 16.5 225 5250 "male" 2009
"124" "Gentoo" "Biscoe" 55.9 17 228 5600 "male" 2009
"125" "Gentoo" "Biscoe" 49.1 15 228 5500 "male" 2009
"126" "Gentoo" "Biscoe" 46.8 16.1 215 5500 "male" 2009
"127" "Gentoo" "Biscoe" 53.4 15.8 219 5500 "male" 2009
"128" "Gentoo" "Biscoe" 48.1 15.1 209 5500 "male" 2009
"129" "Gentoo" "Biscoe" 49.8 15.9 229 5950 "male" 2009
"130" "Gentoo" "Biscoe" 51.5 16.3 230 5500 "male" 2009
"131" "Gentoo" "Biscoe" 55.1 16 230 5850 "male" 2009
"132" "Gentoo" "Biscoe" 48.8 16.2 222 6000 "male" 2009
"133" "Gentoo" "Biscoe" 50.4 15.7 222 5750 "male" 2009
"134" "Gentoo" "Biscoe" 49.9 16.1 213 5400 "male" 2009
"135" "Chinstrap" "Dream" 50 19.5 196 3900 "male" 2007
"136" "Chinstrap" "Dream" 51.3 19.2 193 3650 "male" 2007
"137" "Chinstrap" "Dream" 52.7 19.8 197 3725 "male" 2007
"138" "Chinstrap" "Dream" 51.3 18.2 197 3750 "male" 2007
"139" "Chinstrap" "Dream" 51.3 19.9 198 3700 "male" 2007
"140" "Chinstrap" "Dream" 51.7 20.3 194 3775 "male" 2007
"141" "Chinstrap" "Dream" 52 18.1 201 4050 "male" 2007
"142" "Chinstrap" "Dream" 50.5 19.6 201 4050 "male" 2007
"143" "Chinstrap" "Dream" 50.3 20 197 3300 "male" 2007
"144" "Chinstrap" "Dream" 49.2 18.2 195 4400 "male" 2007
"145" "Chinstrap" "Dream" 48.5 17.5 191 3400 "male" 2007
"146" "Chinstrap" "Dream" 50.6 19.4 193 3800 "male" 2007
"147" "Chinstrap" "Dream" 52 19 197 4150 "male" 2007
"148" "Chinstrap" "Dream" 49.5 19 200 3800 "male" 2008
"149" "Chinstrap" "Dream" 52.8 20 205 4550 "male" 2008
"150" "Chinstrap" "Dream" 54.2 20.8 201 4300 "male" 2008
"151" "Chinstrap" "Dream" 51 18.8 203 4100 "male" 2008
